workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2407,1,7_train,before,14805,ordinary,,habitual,61.89,period,True
2407,2,4_subway,after,7545,wonky,habitual,habitual,62.4,period,True
2407,3,19_exhibit,after,12524,ordinary,habitual,habitual,33.82,period,True
2407,4,15_pasta,after,10439,wonky,non-habitual,habitual,90.07,period,True
2407,5,8_work,before,12182,wonky,,habitual,93.96,period,True
2407,6,13_bus,after,16141,ordinary,non-habitual,habitual,88.74,period,True
2407,1,7_train,before,14805,ordinary,,non-habitual,46.63,period,True
2407,2,4_subway,after,7545,wonky,habitual,non-habitual,56.77,period,True
2407,3,19_exhibit,after,12524,ordinary,habitual,non-habitual,49.49,period,True
2407,4,15_pasta,after,10439,wonky,non-habitual,non-habitual,59.02,period,True
2407,5,8_work,before,12182,wonky,,non-habitual,30.95,period,True
2407,6,13_bus,after,16141,ordinary,non-habitual,non-habitual,74.6,period,True
2407,1,7_train,before,14805,ordinary,,script,65.07,period,True
2407,2,4_subway,after,7545,wonky,habitual,script,45.29,period,True
2407,3,19_exhibit,after,12524,ordinary,habitual,script,63.12,period,True
2407,4,15_pasta,after,10439,wonky,non-habitual,script,52.26,period,True
2407,5,8_work,before,12182,wonky,,script,64.97,period,True
2407,6,13_bus,after,16141,ordinary,non-habitual,script,64.66,period,True
2407,1,7_train,before,14805,ordinary,,interaction,39.45,period,True
2407,2,4_subway,after,7545,wonky,habitual,interaction,53.39,period,True
2407,3,19_exhibit,after,12524,ordinary,habitual,interaction,42.02,period,True
2407,4,15_pasta,after,10439,wonky,non-habitual,interaction,60.56,period,True
2407,5,8_work,before,12182,wonky,,interaction,62.61,period,True
2407,6,13_bus,after,16141,ordinary,non-habitual,interaction,42.32,period,True
2408,1,1_grocery,before,57105,ordinary,,habitual,100,ohyeah,True
2408,2,24_laundry,after,43857,ordinary,habitual,habitual,22.04,ohyeah,True
2408,3,4_subway,after,53898,ordinary,non-habitual,habitual,99.34,ohyeah,True
2408,4,17_airplane,after,50123,wonky,habitual,habitual,27.91,ohyeah,True
2408,5,5_fueling,after,53149,wonky,non-habitual,habitual,99.23,ohyeah,True
2408,6,8_work,before,62000,wonky,,habitual,86.71,ohyeah,True
2408,1,1_grocery,before,57105,ordinary,,non-habitual,31.34,ohyeah,True
2408,2,24_laundry,after,43857,ordinary,habitual,non-habitual,0.33,ohyeah,True
2408,3,4_subway,after,53898,ordinary,non-habitual,non-habitual,9.08,ohyeah,True
2408,4,17_airplane,after,50123,wonky,habitual,non-habitual,1.55,ohyeah,True
2408,5,5_fueling,after,53149,wonky,non-habitual,non-habitual,49.17,ohyeah,True
2408,6,8_work,before,62000,wonky,,non-habitual,98.78,ohyeah,True
2408,1,1_grocery,before,57105,ordinary,,script,80.18,ohyeah,True
2408,2,24_laundry,after,43857,ordinary,habitual,script,36.33,ohyeah,True
2408,3,4_subway,after,53898,ordinary,non-habitual,script,55.71,ohyeah,True
2408,4,17_airplane,after,50123,wonky,habitual,script,48.84,ohyeah,True
2408,5,5_fueling,after,53149,wonky,non-habitual,script,49.28,ohyeah,True
2408,6,8_work,before,62000,wonky,,script,96.46,ohyeah,True
2408,1,1_grocery,before,57105,ordinary,,interaction,42.31,ohyeah,True
2408,2,24_laundry,after,43857,ordinary,habitual,interaction,63.46,ohyeah,True
2408,3,4_subway,after,53898,ordinary,non-habitual,interaction,33.45,ohyeah,True
2408,4,17_airplane,after,50123,wonky,habitual,interaction,49.39,ohyeah,True
2408,5,5_fueling,after,53149,wonky,non-habitual,interaction,57.37,ohyeah,True
2408,6,8_work,before,62000,wonky,,interaction,93.47,ohyeah,True
2409,1,14_clothes,before,40388,wonky,,habitual,11.75,exclamation,True
2409,2,11_skydiving,after,54637,wonky,habitual,habitual,49.57,exclamation,True
2409,3,3_feed_dog,before,42657,ordinary,,habitual,85.61,exclamation,True
2409,4,18_hair,after,37175,wonky,non-habitual,habitual,4.47,exclamation,True
2409,5,5_fueling,after,61575,ordinary,non-habitual,habitual,79.91,exclamation,True
2409,6,7_train,after,41259,ordinary,habitual,habitual,90.65,exclamation,True
2409,1,14_clothes,before,40388,wonky,,non-habitual,1.48,exclamation,True
2409,2,11_skydiving,after,54637,wonky,habitual,non-habitual,13.34,exclamation,True
2409,3,3_feed_dog,before,42657,ordinary,,non-habitual,50.03,exclamation,True
2409,4,18_hair,after,37175,wonky,non-habitual,non-habitual,49.47,exclamation,True
2409,5,5_fueling,after,61575,ordinary,non-habitual,non-habitual,19.78,exclamation,True
2409,6,7_train,after,41259,ordinary,habitual,non-habitual,50.69,exclamation,True
2409,1,14_clothes,before,40388,wonky,,script,75.9,exclamation,True
2409,2,11_skydiving,after,54637,wonky,habitual,script,66.19,exclamation,True
2409,3,3_feed_dog,before,42657,ordinary,,script,98.3,exclamation,True
2409,4,18_hair,after,37175,wonky,non-habitual,script,91.49,exclamation,True
2409,5,5_fueling,after,61575,ordinary,non-habitual,script,86.45,exclamation,True
2409,6,7_train,after,41259,ordinary,habitual,script,73.65,exclamation,True
2409,1,14_clothes,before,40388,wonky,,interaction,43.31,exclamation,True
2409,2,11_skydiving,after,54637,wonky,habitual,interaction,77.48,exclamation,True
